日期,上海:全员劳动生产率:第一产业,上海:全员劳动生产率:第二产业,上海:全员劳动生产率:第三产业
1978,455,7001,3488
1979,490,6931,3500
1980,462,6886,4096
1981,508,6697,4177
1982,667,6532,4234
1983,729,6431,4510
1984,1055,6641,5140
1985,1408,7493,6098
1986,1653,7444,6473
1987,2019,7913,7314
1988,2796,9301,8288
1989,3258,10011,8655
1990,3892,10863,10382
1991,4011,11738,12940
1992,4270,14384,16013
1993,4957,19485,22473
1994,6327,25626,30192
1995,7791.09,32503.09,36878.25
1996,8717.49,37812.77,44180.74
1997,8894.79,44460.57,51279.46
1998,9071.25,49226.58,55669.71
1999,9190.62,52396.97,61961.01
2000,9754.48,59908.55,67345.3
2001,8843,70375,71696
2002,9295,81306,75456
2003,10257,94726,80210
2004,11836,98278,91065
2005,14069,102494,99058
2006,16125,119732,107174
2007,18679,132409,126429
2008,21690,143753,139607
2009,23250,141687,152331
2010,26664,166557,163512
2011,33600,178391,180905
2012,30803,177501,194904
2013,27217,180712,211835
