日期,国家全员劳动生产率,同比
1979,5168.28,5.39
1980,5425.9,4.98
1981,5531.21,1.94
1982,5833.36,5.46
1983,6275.34,7.58
1984,7006.05,11.64
1985,7670.89,9.49
1986,8094.85,5.53
1987,8779.92,8.46
1988,9491.96,8.11
1989,9648.32,1.65
1990,9149.74,-5.17
1991,9210.15,0.66
1992,10409.6,13.02
1993,11745.73,12.84
1994,13153.25,11.98
1995,14454.91,9.9
1996,15728.12,8.81
1997,16972.97,7.91
1998,18082.69,6.54
1999,19244.9,6.43
2000,20656.89,7.34
2001,22154.84,7.25
2002,23969.26,8.19
2003,26203.83,9.32
2004,28654.7,9.35
2005,31700.43,10.63
2006,35548.5,12.14
2007,40401.03,13.65
2008,44121.51,9.21
2009,48025.58,8.85
2010,53826.75,10.24
2011,58704.66,9.06
2012,72817,7.33
2013,78182,7.3
2014,83211,6.89
2015,89055,6.6
2016,94939,6.4
2017,101411,6.7
2018,108268,6.6
2019,115009,6.2
