数据库：年度数据
时间：最近10年
指标,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年
金融机构部门实物交易资金来源增加值(亿元),65394.97,61121.72,57872.62,46665.18,41190.47,28722.68,24958.29,20980.60
金融机构部门实物交易资金来源财产收入(亿元),57784.52,53599.13,51947.32,48901.27,42647.80,54612.40,43429.17,29716.44
金融机构部门实物交易资金来源利息(亿元),56198.23,52735.87,51058.62,47897.36,41887.08,53860.04,42808.74,29170.44
金融机构部门实物交易资金来源红利(亿元),1586.29,863.26,888.71,1003.92,760.72,752.36,620.44,546.00
金融机构部门实物交易资金来源初次分配总收入(亿元),41083.96,37624.27,30227.35,21909.25,19865.78,20753.02,17358.58,14582.48
金融机构部门实物交易资金来源经常转移(亿元),6278.58,5439.57,4847.75,4665.58,4274.87,3703.27,3311.12,2957.68
金融机构部门实物交易资金来源其他经常转移(亿元),6278.58,5439.57,4847.75,4665.58,4274.87,3703.27,3311.12,2957.68
金融机构部门实物交易资金来源可支配总收入(亿元),34637.93,29616.90,22662.29,15932.81,14963.20,16855.35,15179.18,13206.55
金融机构部门实物交易资金来源总储蓄(亿元),34637.93,29616.90,22662.29,15932.81,14963.20,16855.35,15179.18,13206.55
数据来源：国家统计局
