指标名称,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
资金流量表:实物交易:来源:净出口:合计,-275.5,679.5,-634.1,-998.5,-1459.22,-2857.2,-3051.4,-2248.8,-2390.2,-2324.7,-3094.1,-2964.91,-4235.6,-10209.1,-16654.6,-23423.1,-24226.8,-15037.1,-15097.6,-12163.3,-14632.4,-14552.1,-16151.6,-22346.5,-16975.6,-14578.4,-7059.743532
资金流量表:实物交易:来源:净出口:国外部门,-275.5,679.5,-634.1,-998.5,-1459.3,-2857.2,-3051.4,-2248.8,-2390.2,-2324.7,-3094.1,-2964.91,-4235.6,-10209.1,-16654.6,-23423.1,-24226.8,-15037.1,-15097.6,-12163.3,-14632.4,-14552.1,-16151.6,-22346.5,-16975.6,-14578.4,-7059.743532
资金流量表:实物交易:来源:增加值:合计,26638.1,34634.4,46759.4,58478.1,67884.6,74462.6,78345.2,82067.5,99214.6,109655.2,120332.7,135822.8,159878.3,184937.4,216314.4,265810.3,314045.4,340902.8,401512.8,473104.1,519470.1,588018.8,643974.0482,,,,919281.1291
资金流量表:实物交易:来源:增加值:非金融企业部门,15489.24,21092,27724.5,36025,40885.4,44628.72,45510.2,47223.6,55402.69,62691.56,69966.74,78679.21,95328.02,110125.3,128211.4,156038.4,185950.3,197392.6,232106.2,274841.2,306220.3,359277.1,392751.1,407653.5,439384.6,507107,576074.8609
资金流量表:实物交易:来源:增加值:金融机构部门,984.86,1254.5,1527.3,1574.67,1909.2,1705.77,1861.83,1690,4086.69,4353.46,4612.8,4989.4,5392.97,6086.83,8099.08,12337.55,14863.25,17767.53,20980.6,24958.29,28722.68,41190.47,46665.18,57872.62,61121.72,65394.97,70610.25629
资金流量表:实物交易:来源:增加值:政府部门,2444,3173,4442.2,5089.34,5513.8,6557.81,7649.1,8282.5,7808.92,9110.68,11389.16,12347.7,14480.21,17113.14,19915.5,24304.25,29688.99,33231.27,36155.69,40363.25,39051.99,42559.67,47757.34,55791.38,62150.53,71373.18,91956.09897
资金流量表:实物交易:来源:增加值:住户部门,7720,9114.9,13065.4,15789.09,19576.2,21570.3,23324.07,24871.4,31916.3,33499.5,34364,39806.49,44677.09,51612.11,60088.43,73130.07,83542.89,92511.4,112270.3,132941.4,145475.1,144991.5,156800.4,167734.6,180928.6,176879.2,180639.9129
资金流量表:实物交易:来源:增加值:国内合计,26638.1,34634.4,46759.4,58478.1,67884.6,74462.6,78345.2,82067.5,99214.6,109655.2,120332.7,135822.8,159878.3,184937.4,216314.4,265810.3,314045.4,340902.8,401512.8,473104.1,519470.1,588018.8,643974.1,689052.1,743585.5,820754.3,919281.1291
资金流量表:实物交易:来源:劳动者报酬:合计,15959.6,19633.6,26645.1,33660,39279.5,43730.3,46015.73,48965.82,52299.11,57600.32,64580.17,71828.46,81065.14,93296.87,106554.7,128108.5,150701.7,167098.1,190968,222528.4,256676.8,299072.3,328602.8,357432,386976.2,424735.6,476220.2373
资金流量表:实物交易:来源:劳动者报酬:住户部门,15959.6,19633.6,26645.1,33660,39279.5,43730.3,45998.84,48922.6,52242.87,57529.83,64501.51,71735.74,80950.75,93147.99,106369,127918.9,150511.7,166957.9,190869.5,222423.8,256563.9,298966.1,328347.4,357075.8,386563.6,424279.4,475562.8128
资金流量表:实物交易:来源:劳动者报酬:国内合计,15959.6,19633.6,26645.1,33660,39279.5,43730.3,45998.84,48922.6,52242.87,57529.83,64501.51,71735.74,80950.75,93147.99,106369,127918.9,150511.7,166957.9,190869.5,222423.8,256563.9,298966.1,328347.4,357075.8,386563.6,424279.4,475562.8128
